uid,kol用户名,抖音号,是否入驻,粉丝数,价格,预计播放量
94399674823,老酒之家,laojiuzhijia,是,1903868,"'1-20s视频': 1500, '20-60s视频': 80000",67579.0
94920667370,铁锤行动,tc17house,否,1660896,,
98902783054,柳叔来了,liushi110,是,1447787,"'1-20s视频': 15000, '20-60s视频': 50000",53606.0
101626266989,爱做菜,aizuocai,是,12174804,"'1-20s视频': 32888, '20-60s视频': 32888",379389.0
93683251184,快乐肥宅阿叶,1058217429,是,1922531,"'1-20s视频': 20000, '20-60s视频': 25000",14870.0
85920115448,张教官的有趣人生,zhangjiaoguan,是,2699834,"'1-20s视频': 48800, '20-60s视频': 48800",2645816.0
54882572512,孙艺洲,,否,15992120,,
2264601256803619,香港姑娘Cherry,FirstChoice8,是,1541604,"'1-20s视频': 45000, '20-60s视频': 55000",948424.0
83774656613,直播南京,njnews,否,3938456,,
96225433830,泺熙Nicolas,LUOXINICOLAS,是,3035396,"'1-20s视频': 40000, '20-60s视频': 60000",463446.0
60316766958,Konsn玩数码,Konsn66,是,1893819,"'1-20s视频': 18000, '20-60s视频': 28000",101987.0
86728120544,小胡说车,XHSC8888,是,718626,"'1-20s视频': 3700, '20-60s视频': 3700",125877.0
72103124661,天志,ttz666,是,9128921,"'1-20s视频': 130000, '20-60s视频': 130000",5397485.0
102823121138,飞行员欧文讲故事,owenfly,是,2217496,"'1-20s视频': 3500, '20-60s视频': 26000",414324.0
813270391858676,妍菲 妍苗,2229120639,是,9562773,"'1-20s视频': 95800, '20-60s视频': 99800",1241507.0
59406767158,小帅家的大狼狗们,zuogouwo,是,4699280,"'1-20s视频': 55000, '20-60s视频': 58000",1892101.0
109346595987,拜托啦律师,baituolelvshi,否,4033635,,
93643211519,大雄团队（做实事）,376363577,是,16138541,"'1-20s视频': 120000, '20-60s视频': 120000",6697945.0
61309881959,西门飘飘,19427399,是,3244566,"'1-20s视频': 35800, '20-60s视频': 46800",257021.0
3043522966,新闻晨报,xwcb2018,是,2458708,"'1-20s视频': 25000, '20-60s视频': 55000",21513.0
107822973343,李瑛,1765150583,是,5868083,"'1-20s视频': 30000, '20-60s视频': 40000",375958.0
59156195066,178的刘太阳,178LTY,是,2047266,"'1-20s视频': 24000, '20-60s视频': 30000",1142343.0
514226604224903,许安娜,Hyorin_xu_,是,463898,"'1-20s视频': 4900, '20-60s视频': 4900",312584.0
93449078341,何青绫,388394728,是,5722434,"'1-20s视频': 50000, '20-60s视频': 80000",2642187.0
106102859837,6点说车,6dianshuoche,是,1044482,"'1-20s视频': 6000, '20-60s视频': 9000",0.0
53108936406,幺妹儿,Ananx966,是,7417559,"'1-20s视频': 110000, '20-60s视频': 130000",508110.0
86539030095,中国之声,CNRnews,否,2528480,,
111552168781,叶檀工作室,yetan001,是,1494270,"'1-20s视频': 30000, '20-60s视频': 50000",316572.0
100372875824,美国脱口秀演员艾杰西,JesseJieXi,是,1996485,"'1-20s视频': 20000, '20-60s视频': 40000",55156.0
111446363955,新京报评论,,否,1166693,,
106214541291,伏拉夫,1710074742,是,9482959,"'1-20s视频': 78000, '20-60s视频': 99000",1713727.0
63174419928,晓凤,Xf.1111188888,否,2828650,,
3900689137010045,王力差点红.,wamgli0662,是,3760498,"'1-20s视频': 80000, '20-60s视频': 80000",2720084.0
1574125915353195,故事汇,dyo3mvbi3wnd,否,2825510,,
87880430462,鲁哥说车,360798183,是,2420805,"'1-20s视频': 21600, '20-60s视频': 22000",1275549.0
62771805535,真哥,zhengev5,是,2561217,"'1-20s视频': 15000, '20-60s视频': 25000",260674.0
69499590234,乡  愁,SJ15105037822,否,6852058,,
59829336159,『探险中国』避风港,,否,2301058,,
100961233953,小康总,Mister_Kang,是,4422310,"'1-20s视频': 28000, '20-60s视频': 40000",700400.0
77551291273,CCTV热话,,否,3055976,,
95824068720,装修高老师,spzp_03,是,3962141,"'1-20s视频': 40000, '20-60s视频': 60000",151997.0
3320160783174925,楚哥说电影,chuge95,是,3325451,"'1-20s视频': 4000, '20-60s视频': 8000",201115.0
3021048417362334,保时捷中国,Porsche__China,否,434178,,
82661831700,金鹰纪实卫视,,否,1304286,,
59361857465,胡子歌,94060736,是,2075057,"'1-20s视频': 9800, '20-60s视频': 12800",157639.0
